type,firstName,lastName,companyName,industry,primaryEmail,primaryPhone,primaryStreet,primaryCity,primaryState,primaryZip,spouseId,childIds,householdId,contactPersonIds,notes,_json
person,Natasha,Smirnoff,,,,,,,,,,,,,,"{""id"":""d8586386-7130-4479-8744-f5c46d159376"",""type"":""person"",""firstName"":""Natasha"",""lastName"":""Smirnoff"",""gender"":""Female"",""birthday"":"""",""weddingAnniversary"":"""",""emails"":[],""phones"":[],""addresses"":[],""spouseId"":"""",""childIds"":[],""householdId"":"""",""notes"":""""}"
person,Jean,Grey,,,phoenix@xmen.com,+19876543766,1 X-Men Road,Westchester,NY,10707,0a22aaf4-4b59-4a41-abd2-09170116a31d,5129ed14-9f22-497c-a2b8-da42f4d9d38f;8d6e25b0-c7f0-4b5d-ae88-a1841c3e4c7b,1e9f58d5-ce01-43a3-b9ea-a4b0e1eaafd0,,,"{""id"":""c9564af7-b100-4c82-a6ab-82a255abe875"",""type"":""person"",""firstName"":""Jean"",""lastName"":""Grey"",""gender"":""Female"",""birthday"":"""",""weddingAnniversary"":"""",""emails"":[{""address"":""phoenix@xmen.com"",""isPrimary"":true,""label"":""Work""},{""address"":""jgrey@gmail.com"",""isPrimary"":false,""label"":""Personal""}],""phones"":[{""number"":""+19876543766"",""countryCode"":""+1"",""isPrimary"":true,""label"":""Mobile""}],""addresses"":[{""street"":""1 X-Men Road"",""city"":""Westchester"",""state"":""NY"",""zip"":""10707"",""country"":""United States"",""isPrimary"":true,""label"":""Household""}],""spouseId"":""0a22aaf4-4b59-4a41-abd2-09170116a31d"",""childIds"":[""5129ed14-9f22-497c-a2b8-da42f4d9d38f"",""8d6e25b0-c7f0-4b5d-ae88-a1841c3e4c7b""],""householdId"":""1e9f58d5-ce01-43a3-b9ea-a4b0e1eaafd0"",""notes"":""""}"
person,Charles,Xavier,,,,+11112223333,9897 Hero Drive,Houston,TX,77095,,0a22aaf4-4b59-4a41-abd2-09170116a31d,bf06f45c-84fb-4d32-a225-ee349e0e04fc,,,"{""id"":""c779290b-c36f-4977-90aa-f1b8c5af2098"",""type"":""person"",""firstName"":""Charles"",""lastName"":""Xavier"",""gender"":""Male"",""birthday"":"""",""weddingAnniversary"":"""",""emails"":[],""phones"":[{""number"":""+11112223333"",""countryCode"":""+1"",""isPrimary"":true,""label"":""Mobile""}],""addresses"":[{""street"":""9897 Hero Drive"",""city"":""Houston"",""state"":""TX"",""zip"":""77095"",""country"":""United States"",""isPrimary"":true,""label"":""Household""}],""spouseId"":"""",""childIds"":[""0a22aaf4-4b59-4a41-abd2-09170116a31d""],""householdId"":""bf06f45c-84fb-4d32-a225-ee349e0e04fc"",""notes"":""""}"
company,,,ABC,Retail,office@abc.com,+15551213435,876 Main St,Madison,WI,53703,,,,c779290b-c36f-4977-90aa-f1b8c5af2098,,"{""id"":""bf9b741c-443f-4735-b765-5e2380cee3bc"",""type"":""company"",""name"":""ABC"",""industry"":""Retail"",""website"":""https://abc.com"",""emails"":[{""address"":""office@abc.com"",""isPrimary"":true,""label"":""Personal""}],""phones"":[{""number"":""+15551213435"",""countryCode"":""+1"",""isPrimary"":true,""label"":""Mobile""}],""addresses"":[{""street"":""876 Main St"",""city"":""Madison"",""state"":""WI"",""zip"":""53703"",""country"":""United States"",""isPrimary"":true,""label"":""Main""}],""contactPersonIds"":[""c779290b-c36f-4977-90aa-f1b8c5af2098""],""notes"":""""}"
person,Warren,Worthington,,,angel@xmen.com,+18762341232,1 X-Men Road,Westchester,NY,10707,,,1e9f58d5-ce01-43a3-b9ea-a4b0e1eaafd0,,,"{""id"":""8d6e25b0-c7f0-4b5d-ae88-a1841c3e4c7b"",""type"":""person"",""firstName"":""Warren"",""lastName"":""Worthington"",""gender"":""Male"",""birthday"":""1987-07-12"",""weddingAnniversary"":"""",""emails"":[{""address"":""angel@xmen.com"",""isPrimary"":true,""label"":""Personal""}],""phones"":[{""number"":""+18762341232"",""countryCode"":""+1"",""isPrimary"":true,""label"":""Work""},{""number"":""+15551230987"",""countryCode"":""+1"",""isPrimary"":false,""label"":""Mobile""}],""addresses"":[{""street"":""1 X-Men Road"",""city"":""Westchester"",""state"":""NY"",""zip"":""10707"",""country"":""United States"",""isPrimary"":true,""label"":""Household""}],""spouseId"":"""",""childIds"":[],""householdId"":""1e9f58d5-ce01-43a3-b9ea-a4b0e1eaafd0"",""notes"":""""}"
person,Peter,Rasputin,,,,,9897 Hero Drive,Houston,TX,77095,,,bf06f45c-84fb-4d32-a225-ee349e0e04fc,,,"{""id"":""5170b729-86f4-4f60-bffd-260c59160639"",""type"":""person"",""firstName"":""Peter"",""lastName"":""Rasputin"",""gender"":""Male"",""birthday"":""2007-12-18"",""weddingAnniversary"":"""",""emails"":[],""phones"":[],""addresses"":[{""street"":""9897 Hero Drive"",""city"":""Houston"",""state"":""TX"",""zip"":""77095"",""country"":""United States"",""isPrimary"":true,""label"":""Household""}],""spouseId"":"""",""childIds"":[],""householdId"":""bf06f45c-84fb-4d32-a225-ee349e0e04fc"",""notes"":""""}"
person,Kurt,Wagner,,,,,1 X-Men Road,Westchester,NY,10707,,,1e9f58d5-ce01-43a3-b9ea-a4b0e1eaafd0,,,"{""id"":""5129ed14-9f22-497c-a2b8-da42f4d9d38f"",""type"":""person"",""firstName"":""Kurt"",""lastName"":""Wagner"",""gender"":""Male"",""birthday"":"""",""weddingAnniversary"":"""",""emails"":[],""phones"":[],""addresses"":[{""street"":""1 X-Men Road"",""city"":""Westchester"",""state"":""NY"",""zip"":""10707"",""country"":""United States"",""isPrimary"":true,""label"":""Household""}],""spouseId"":"""",""childIds"":[],""householdId"":""1e9f58d5-ce01-43a3-b9ea-a4b0e1eaafd0"",""notes"":""""}"
person,Scott,Summers,,,,,1 X-Men Road,Westchester,NY,10707,c9564af7-b100-4c82-a6ab-82a255abe875,5129ed14-9f22-497c-a2b8-da42f4d9d38f;8d6e25b0-c7f0-4b5d-ae88-a1841c3e4c7b,1e9f58d5-ce01-43a3-b9ea-a4b0e1eaafd0,,,"{""id"":""0a22aaf4-4b59-4a41-abd2-09170116a31d"",""type"":""person"",""firstName"":""Scott"",""lastName"":""Summers"",""gender"":""Male"",""birthday"":""1981-11-12"",""weddingAnniversary"":"""",""emails"":[],""phones"":[],""addresses"":[{""street"":""1 X-Men Road"",""city"":""Westchester"",""state"":""NY"",""zip"":""10707"",""country"":""United States"",""isPrimary"":true,""label"":""Household""}],""spouseId"":""c9564af7-b100-4c82-a6ab-82a255abe875"",""childIds"":[""5129ed14-9f22-497c-a2b8-da42f4d9d38f"",""8d6e25b0-c7f0-4b5d-ae88-a1841c3e4c7b""],""householdId"":""1e9f58d5-ce01-43a3-b9ea-a4b0e1eaafd0"",""notes"":""""}"

--- HOUSEHOLDS ---
