type,firstName,lastName,companyName,industry,primaryEmail,primaryPhone,primaryStreet,primaryStreet2,primaryCity,primaryState,primaryZip,spouseId,childIds,householdId,contactPersonIds,notes,imageId,_json
company,,,AWS,Cloud Technology,,,,,,,,,,,,,f23be14f-101f-4902-8564-d09133cd83a3,"{""id"":""f23be14f-101f-4902-8564-d09133cd83a3"",""type"":""company"",""name"":""AWS"",""industry"":""Cloud Technology"",""website"":"""",""emails"":[],""phones"":[],""addresses"":[],""contactPersonIds"":[],""notes"":"""",""companyStatus"":""active"",""closedDate"":""""}"
person,Logan,Wolverine,,,,,,,,,,,,,,,e6b92487-1c65-4dd5-b394-591d9eb0d4cb,"{""id"":""e6b92487-1c65-4dd5-b394-591d9eb0d4cb"",""type"":""person"",""firstName"":""Logan"",""lastName"":""Wolverine"",""gender"":""Male"",""birthday"":"""",""weddingAnniversary"":"""",""emails"":[],""phones"":[],""addresses"":[],""spouseId"":"""",""childIds"":[],""householdId"":"""",""notes"":"""",""status"":""active"",""deceasedDate"":""""}"
person,Natasha,Smirnoff,,,,,123 Main St,Apt. 101,Anytown,OH,44144,,,56967bb6-4c55-4ccb-b378-922e8ea0c726,,,,"{""id"":""d8586386-7130-4479-8744-f5c46d159376"",""type"":""person"",""firstName"":""Natasha"",""lastName"":""Smirnoff"",""gender"":""Female"",""birthday"":"""",""weddingAnniversary"":"""",""emails"":[],""phones"":[],""addresses"":[{""street"":""123 Main St"",""city"":""Anytown"",""state"":""OH"",""zip"":""44144"",""country"":""United States"",""isPrimary"":true,""label"":""Household"",""street2"":""Apt. 101""}],""spouseId"":"""",""childIds"":[],""householdId"":""56967bb6-4c55-4ccb-b378-922e8ea0c726"",""notes"":"""",""status"":""active"",""deceasedDate"":""""}"
person,DeForest,Kelly,,,,,,,,,,,622ae908-0b2e-4d8c-bd76-dcced212b641,,,,d6fda438-2477-40f2-8c39-741f4b9c36bf,"{""id"":""d6fda438-2477-40f2-8c39-741f4b9c36bf"",""type"":""person"",""firstName"":""DeForest"",""lastName"":""Kelly"",""gender"":""Male"",""birthday"":"""",""weddingAnniversary"":"""",""emails"":[],""phones"":[],""addresses"":[],""spouseId"":"""",""childIds"":[""622ae908-0b2e-4d8c-bd76-dcced212b641""],""householdId"":"""",""notes"":"""",""status"":""deceased"",""deceasedDate"":""2019-01-01""}"
person,Jean,Grey,,,phoenix@xmen.com,+19876543766,1 X-Men Road,,Westchester,NY,10707,0a22aaf4-4b59-4a41-abd2-09170116a31d,5129ed14-9f22-497c-a2b8-da42f4d9d38f;8d6e25b0-c7f0-4b5d-ae88-a1841c3e4c7b,1e9f58d5-ce01-43a3-b9ea-a4b0e1eaafd0,,,c9564af7-b100-4c82-a6ab-82a255abe875,"{""id"":""c9564af7-b100-4c82-a6ab-82a255abe875"",""type"":""person"",""firstName"":""Jean"",""lastName"":""Grey"",""gender"":""Female"",""birthday"":""2026-08-28"",""weddingAnniversary"":"""",""emails"":[{""address"":""phoenix@xmen.com"",""isPrimary"":true,""label"":""Work""},{""address"":""jgrey@gmail.com"",""isPrimary"":false,""label"":""Personal""}],""phones"":[{""number"":""+19876543766"",""countryCode"":""+1"",""isPrimary"":true,""label"":""Mobile""}],""addresses"":[{""street"":""1 X-Men Road"",""city"":""Westchester"",""state"":""NY"",""zip"":""10707"",""country"":""United States"",""isPrimary"":true,""label"":""Household"",""street2"":""""}],""spouseId"":""0a22aaf4-4b59-4a41-abd2-09170116a31d"",""childIds"":[""5129ed14-9f22-497c-a2b8-da42f4d9d38f"",""8d6e25b0-c7f0-4b5d-ae88-a1841c3e4c7b""],""householdId"":""1e9f58d5-ce01-43a3-b9ea-a4b0e1eaafd0"",""notes"":"""",""status"":""active"",""deceasedDate"":""""}"
person,Charles,Xavier,,,,+11112223333,9897 Hero Drive,Suite 1,Houston,TX,77095,,0a22aaf4-4b59-4a41-abd2-09170116a31d,,,,,"{""id"":""c779290b-c36f-4977-90aa-f1b8c5af2098"",""type"":""person"",""firstName"":""Charles"",""lastName"":""Xavier"",""gender"":""Male"",""birthday"":"""",""weddingAnniversary"":"""",""emails"":[],""phones"":[{""number"":""+11112223333"",""countryCode"":""+1"",""isPrimary"":true,""label"":""Mobile""}],""addresses"":[{""street"":""9897 Hero Drive"",""city"":""Houston"",""state"":""TX"",""zip"":""77095"",""country"":""United States"",""isPrimary"":true,""label"":""Home"",""street2"":""Suite 1""}],""spouseId"":"""",""childIds"":[""0a22aaf4-4b59-4a41-abd2-09170116a31d""],""householdId"":"""",""notes"":"""",""status"":""active"",""deceasedDate"":""""}"
person,Tony,Stark,,,,,1000 Avengers Way,,New York,NY,10019,,,8d632501-fae2-4ded-9b89-494dfbb933ef,,,,"{""id"":""c035c78c-01b8-47da-8696-eb8625cff591"",""type"":""person"",""firstName"":""Tony"",""lastName"":""Stark"",""gender"":""Male"",""birthday"":"""",""weddingAnniversary"":"""",""emails"":[],""phones"":[],""addresses"":[{""street"":""1000 Avengers Way"",""street2"":"""",""city"":""New York"",""state"":""NY"",""zip"":""10019"",""country"":""United States"",""isPrimary"":true,""label"":""Household""}],""spouseId"":"""",""childIds"":[],""householdId"":""8d632501-fae2-4ded-9b89-494dfbb933ef"",""notes"":"""",""status"":""active"",""deceasedDate"":""""}"
company,,,ABC,Retail,office@abc.com,+15551213435,876 Main St,Suite 5,Madison,WI,53703,,,,c779290b-c36f-4977-90aa-f1b8c5af2098,,bf9b741c-443f-4735-b765-5e2380cee3bc,"{""id"":""bf9b741c-443f-4735-b765-5e2380cee3bc"",""type"":""company"",""name"":""ABC"",""industry"":""Retail"",""website"":""https://abc.com"",""emails"":[{""address"":""office@abc.com"",""isPrimary"":true,""label"":""Personal""}],""phones"":[{""number"":""+15551213435"",""countryCode"":""+1"",""isPrimary"":true,""label"":""Mobile""}],""addresses"":[{""street"":""876 Main St"",""city"":""Madison"",""state"":""WI"",""zip"":""53703"",""country"":""United States"",""isPrimary"":true,""label"":""Main"",""street2"":""Suite 5""}],""contactPersonIds"":[""c779290b-c36f-4977-90aa-f1b8c5af2098""],""notes"":"""",""companyStatus"":""active"",""closedDate"":""""}"
person,Bruce,Banner,,,,,1000 Avengers Way,,New York,NY,10019,,,8d632501-fae2-4ded-9b89-494dfbb933ef,,,,"{""id"":""aa18b9eb-0005-498e-b42e-e25a14532c19"",""type"":""person"",""firstName"":""Bruce"",""lastName"":""Banner"",""gender"":""Male"",""birthday"":"""",""weddingAnniversary"":"""",""emails"":[],""phones"":[],""addresses"":[{""street"":""1000 Avengers Way"",""street2"":"""",""city"":""New York"",""state"":""NY"",""zip"":""10019"",""country"":""United States"",""isPrimary"":true,""label"":""Household""}],""spouseId"":"""",""childIds"":[],""householdId"":""8d632501-fae2-4ded-9b89-494dfbb933ef"",""notes"":"""",""status"":""active"",""deceasedDate"":""""}"
company,,,XYZ,Retail,,,,,,,,,,,,,90318215-d8b7-4777-a655-493bcfaa193e,"{""id"":""90318215-d8b7-4777-a655-493bcfaa193e"",""type"":""company"",""name"":""XYZ"",""industry"":""Retail"",""website"":"""",""emails"":[],""phones"":[],""addresses"":[],""contactPersonIds"":[],""notes"":"""",""companyStatus"":""closed"",""closedDate"":""""}"
person,Warren,Worthington,,,angel@xmen.com,+18762341232,1 X-Men Road,,Westchester,NY,10707,,,1e9f58d5-ce01-43a3-b9ea-a4b0e1eaafd0,,,,"{""id"":""8d6e25b0-c7f0-4b5d-ae88-a1841c3e4c7b"",""type"":""person"",""firstName"":""Warren"",""lastName"":""Worthington"",""gender"":""Male"",""birthday"":""1987-07-12"",""weddingAnniversary"":"""",""emails"":[{""address"":""angel@xmen.com"",""isPrimary"":true,""label"":""Personal""}],""phones"":[{""number"":""+18762341232"",""countryCode"":""+1"",""isPrimary"":true,""label"":""Work""},{""number"":""+15551230987"",""countryCode"":""+1"",""isPrimary"":false,""label"":""Mobile""}],""addresses"":[{""street"":""1 X-Men Road"",""city"":""Westchester"",""state"":""NY"",""zip"":""10707"",""country"":""United States"",""isPrimary"":true,""label"":""Household"",""street2"":""""}],""spouseId"":"""",""childIds"":[],""householdId"":""1e9f58d5-ce01-43a3-b9ea-a4b0e1eaafd0"",""notes"":"""",""status"":""active"",""deceasedDate"":""""}"
person,Leonard,Nimoy,,,,,1111 Enterprise Drive,,Miami,FL,33101,,,1f6b18a4-f198-47b9-9d14-165b5a503b15,,,622ae908-0b2e-4d8c-bd76-dcced212b641,"{""id"":""622ae908-0b2e-4d8c-bd76-dcced212b641"",""type"":""person"",""firstName"":""Leonard"",""lastName"":""Nimoy"",""gender"":""Male"",""birthday"":"""",""weddingAnniversary"":"""",""emails"":[],""phones"":[],""addresses"":[{""street"":""1111 Enterprise Drive"",""street2"":"""",""city"":""Miami"",""state"":""FL"",""zip"":""33101"",""country"":""United States"",""isPrimary"":true,""label"":""Household""}],""spouseId"":"""",""childIds"":[],""householdId"":""1f6b18a4-f198-47b9-9d14-165b5a503b15"",""notes"":"""",""status"":""active"",""deceasedDate"":""""}"
person,Nyota,Uhura,,,,,1111 Enterprise Drive,,Miami,FL,33101,,,1f6b18a4-f198-47b9-9d14-165b5a503b15,,,,"{""id"":""57fdfa4d-b22a-4a35-810d-d652aaaa0216"",""type"":""person"",""firstName"":""Nyota"",""lastName"":""Uhura"",""gender"":""Female"",""birthday"":"""",""weddingAnniversary"":"""",""emails"":[],""phones"":[],""addresses"":[{""street"":""1111 Enterprise Drive"",""street2"":"""",""city"":""Miami"",""state"":""FL"",""zip"":""33101"",""country"":""United States"",""isPrimary"":true,""label"":""Household""}],""spouseId"":"""",""childIds"":[],""householdId"":""1f6b18a4-f198-47b9-9d14-165b5a503b15"",""notes"":"""",""status"":""active"",""deceasedDate"":""""}"
person,Steve,Rogers,,,,,1000 Avengers Way,,New York,NY,10019,,,8d632501-fae2-4ded-9b89-494dfbb933ef,,,,"{""id"":""55d29a13-43a8-4fc2-935e-55f52b5d0c36"",""type"":""person"",""firstName"":""Steve"",""lastName"":""Rogers"",""gender"":""Male"",""birthday"":"""",""weddingAnniversary"":"""",""emails"":[],""phones"":[],""addresses"":[{""street"":""1000 Avengers Way"",""street2"":"""",""city"":""New York"",""state"":""NY"",""zip"":""10019"",""country"":""United States"",""isPrimary"":true,""label"":""Household""}],""spouseId"":"""",""childIds"":[],""householdId"":""8d632501-fae2-4ded-9b89-494dfbb933ef"",""notes"":"""",""status"":""active"",""deceasedDate"":""""}"
person,Peter,Rasputin,,,,,1 X-Men Road,,Westchester,NY,10707,,,1e9f58d5-ce01-43a3-b9ea-a4b0e1eaafd0,,,,"{""id"":""5170b729-86f4-4f60-bffd-260c59160639"",""type"":""person"",""firstName"":""Peter"",""lastName"":""Rasputin"",""gender"":""Male"",""birthday"":""2007-12-18"",""weddingAnniversary"":"""",""emails"":[],""phones"":[],""addresses"":[{""street"":""1 X-Men Road"",""city"":""Westchester"",""state"":""NY"",""zip"":""10707"",""country"":""United States"",""isPrimary"":true,""label"":""Household"",""street2"":""""}],""spouseId"":"""",""childIds"":[],""householdId"":""1e9f58d5-ce01-43a3-b9ea-a4b0e1eaafd0"",""notes"":"""",""status"":""active"",""deceasedDate"":""""}"
person,Kurt,Wagner,,,,,1 X-Men Road,,Westchester,NY,10707,,,1e9f58d5-ce01-43a3-b9ea-a4b0e1eaafd0,,,,"{""id"":""5129ed14-9f22-497c-a2b8-da42f4d9d38f"",""type"":""person"",""firstName"":""Kurt"",""lastName"":""Wagner"",""gender"":""Male"",""birthday"":"""",""weddingAnniversary"":"""",""emails"":[],""phones"":[],""addresses"":[{""street"":""1 X-Men Road"",""city"":""Westchester"",""state"":""NY"",""zip"":""10707"",""country"":""United States"",""isPrimary"":true,""label"":""Household"",""street2"":""""}],""spouseId"":"""",""childIds"":[],""householdId"":""1e9f58d5-ce01-43a3-b9ea-a4b0e1eaafd0"",""notes"":"""",""status"":""active"",""deceasedDate"":""""}"
